产品id,产品名称,APP_STORE_ID
F0000101,王者荣耀,989673964
F0000149,QQ欢乐斗地主,446324234
F0000046,开心消消乐,791532221
F0000169,迷你世界,1170455562
F0000225,绝地求生 刺激战场,1321803705
F0000002,JJ斗地主,472885640
F0000097,天天象棋,403941510
F0000037,腾讯欢乐麻将,689180123
F0000109,球球大作战,996509117
F0000180,QQ飞车,1235504705
F0000226,绝地求生全军出击,1304987143
F0000160,宾果消消消,897447840
F0000177,荒野行动,1279207754
F0000112,穿越火线：枪战王者,1042545880
F0000059,PopStar!消灭星星官方正版,834878585
F0000131,贪吃蛇大作战,1120536875
F0000264,途游斗地主,1255739625
F0000023,天天爱消除,654897098
F0000135,阴阳师,895670960
F0000151,滚动的天空,1036661603
F0000227,第五人格,1330863325
F0000144,海滨消消乐,1115609641
F0000265,开心跳一跳,1386549387
F0000235,弓箭手大作战,1183708679
F0000181,恋与制作人,1258524226
F0000025,节奏大师,493901993
F0000238,奥特曼传奇英雄,1219891343
F0000229,QQ炫舞,1219233424
F0000178,终结者2:审判日,1291245477
F0000237,元气骑士,1184159988
F1000222,部落冲突,529479190
F1000223,fatego,1108397779
F1000224,炉石传说,841140063
